id,icon_key,category,product_name,relative_path,tags
26,dairy-milk-0026,dairy,DailyChoice Milk 500 ml,/product-icons/generated/dairy-milk-0026.webp,"dairy,milk,500-ml,dailychoice"
27,dairy-milk-0027,dairy,DailyChoice Milk 1 L,/product-icons/generated/dairy-milk-0027.webp,"dairy,milk,1-l,dailychoice"
28,dairy-milk-0028,dairy,DailyChoice Milk 2 L,/product-icons/generated/dairy-milk-0028.webp,"dairy,milk,2-l,dailychoice"
29,dairy-milk-0029,dairy,DailyChoice Milk Pack of 2,/product-icons/generated/dairy-milk-0029.webp,"dairy,milk,pack-of-2,dailychoice"
30,dairy-milk-0030,dairy,DailyChoice Milk Pack of 4,/product-icons/generated/dairy-milk-0030.webp,"dairy,milk,pack-of-4,dailychoice"
31,dairy-milk-0031,dairy,DailyChoice Milk Pack of 6,/product-icons/generated/dairy-milk-0031.webp,"dairy,milk,pack-of-6,dailychoice"
32,dairy-milk-0032,dairy,DailyChoice Milk Family Pack,/product-icons/generated/dairy-milk-0032.webp,"dairy,milk,family-pack,dailychoice"
33,dairy-milk-0033,dairy,DailyChoice Milk Mini,/product-icons/generated/dairy-milk-0033.webp,"dairy,milk,mini,dailychoice"
34,dairy-milk-0034,dairy,DailyChoice Milk Regular,/product-icons/generated/dairy-milk-0034.webp,"dairy,milk,regular,dailychoice"
35,dairy-milk-0035,dairy,DailyChoice Milk Premium,/product-icons/generated/dairy-milk-0035.webp,"dairy,milk,premium,dailychoice"
36,dairy-milk-0036,dairy,DailyChoice Milk Value,/product-icons/generated/dairy-milk-0036.webp,"dairy,milk,value,dailychoice"
37,dairy-milk-0037,dairy,QuickMart Milk 100 g,/product-icons/generated/dairy-milk-0037.webp,"dairy,milk,100-g,quickmart"
38,dairy-milk-0038,dairy,QuickMart Milk 200 g,/product-icons/generated/dairy-milk-0038.webp,"dairy,milk,200-g,quickmart"
39,dairy-milk-0039,dairy,QuickMart Milk 250 g,/product-icons/generated/dairy-milk-0039.webp,"dairy,milk,250-g,quickmart"
40,dairy-milk-0040,dairy,QuickMart Milk 500 g,/product-icons/generated/dairy-milk-0040.webp,"dairy,milk,500-g,quickmart"
41,dairy-milk-0041,dairy,QuickMart Milk 1 kg,/product-icons/generated/dairy-milk-0041.webp,"dairy,milk,1-kg,quickmart"
42,dairy-milk-0042,dairy,QuickMart Milk 100 ml,/product-icons/generated/dairy-milk-0042.webp,"dairy,milk,100-ml,quickmart"
43,dairy-milk-0043,dairy,QuickMart Milk 200 ml,/product-icons/generated/dairy-milk-0043.webp,"dairy,milk,200-ml,quickmart"
44,dairy-milk-0044,dairy,QuickMart Milk 500 ml,/product-icons/generated/dairy-milk-0044.webp,"dairy,milk,500-ml,quickmart"
45,dairy-milk-0045,dairy,QuickMart Milk 1 L,/product-icons/generated/dairy-milk-0045.webp,"dairy,milk,1-l,quickmart"
46,dairy-milk-0046,dairy,QuickMart Milk 2 L,/product-icons/generated/dairy-milk-0046.webp,"dairy,milk,2-l,quickmart"
47,dairy-milk-0047,dairy,QuickMart Milk Pack of 2,/product-icons/generated/dairy-milk-0047.webp,"dairy,milk,pack-of-2,quickmart"
48,dairy-milk-0048,dairy,QuickMart Milk Pack of 4,/product-icons/generated/dairy-milk-0048.webp,"dairy,milk,pack-of-4,quickmart"
49,dairy-milk-0049,dairy,QuickMart Milk Pack of 6,/product-icons/generated/dairy-milk-0049.webp,"dairy,milk,pack-of-6,quickmart"
50,dairy-milk-0050,dairy,QuickMart Milk Family Pack,/product-icons/generated/dairy-milk-0050.webp,"dairy,milk,family-pack,quickmart"
51,dairy-milk-0051,dairy,QuickMart Milk Mini,/product-icons/generated/dairy-milk-0051.webp,"dairy,milk,mini,quickmart"
52,dairy-milk-0052,dairy,QuickMart Milk Regular,/product-icons/generated/dairy-milk-0052.webp,"dairy,milk,regular,quickmart"
53,dairy-milk-0053,dairy,QuickMart Milk Premium,/product-icons/generated/dairy-milk-0053.webp,"dairy,milk,premium,quickmart"
54,dairy-milk-0054,dairy,QuickMart Milk Value,/product-icons/generated/dairy-milk-0054.webp,"dairy,milk,value,quickmart"
55,dairy-milk-0055,dairy,SmartBuy Milk 100 g,/product-icons/generated/dairy-milk-0055.webp,"dairy,milk,100-g,smartbuy"
56,dairy-milk-0056,dairy,SmartBuy Milk 200 g,/product-icons/generated/dairy-milk-0056.webp,"dairy,milk,200-g,smartbuy"
57,dairy-milk-0057,dairy,SmartBuy Milk 250 g,/product-icons/generated/dairy-milk-0057.webp,"dairy,milk,250-g,smartbuy"
58,dairy-milk-0058,dairy,SmartBuy Milk 500 g,/product-icons/generated/dairy-milk-0058.webp,"dairy,milk,500-g,smartbuy"
59,dairy-milk-0059,dairy,SmartBuy Milk 1 kg,/product-icons/generated/dairy-milk-0059.webp,"dairy,milk,1-kg,smartbuy"
60,dairy-milk-0060,dairy,SmartBuy Milk 100 ml,/product-icons/generated/dairy-milk-0060.webp,"dairy,milk,100-ml,smartbuy"
61,dairy-milk-0061,dairy,SmartBuy Milk 200 ml,/product-icons/generated/dairy-milk-0061.webp,"dairy,milk,200-ml,smartbuy"
62,dairy-milk-0062,dairy,SmartBuy Milk 500 ml,/product-icons/generated/dairy-milk-0062.webp,"dairy,milk,500-ml,smartbuy"
63,dairy-milk-0063,dairy,SmartBuy Milk 1 L,/product-icons/generated/dairy-milk-0063.webp,"dairy,milk,1-l,smartbuy"
64,dairy-milk-0064,dairy,SmartBuy Milk 2 L,/product-icons/generated/dairy-milk-0064.webp,"dairy,milk,2-l,smartbuy"
65,dairy-milk-0065,dairy,SmartBuy Milk Pack of 2,/product-icons/generated/dairy-milk-0065.webp,"dairy,milk,pack-of-2,smartbuy"
66,dairy-milk-0066,dairy,SmartBuy Milk Pack of 4,/product-icons/generated/dairy-milk-0066.webp,"dairy,milk,pack-of-4,smartbuy"
67,dairy-milk-0067,dairy,SmartBuy Milk Pack of 6,/product-icons/generated/dairy-milk-0067.webp,"dairy,milk,pack-of-6,smartbuy"
68,dairy-milk-0068,dairy,SmartBuy Milk Family Pack,/product-icons/generated/dairy-milk-0068.webp,"dairy,milk,family-pack,smartbuy"
69,dairy-milk-0069,dairy,SmartBuy Milk Mini,/product-icons/generated/dairy-milk-0069.webp,"dairy,milk,mini,smartbuy"
70,dairy-milk-0070,dairy,SmartBuy Milk Regular,/product-icons/generated/dairy-milk-0070.webp,"dairy,milk,regular,smartbuy"
71,dairy-milk-0071,dairy,SmartBuy Milk Premium,/product-icons/generated/dairy-milk-0071.webp,"dairy,milk,premium,smartbuy"
72,dairy-milk-0072,dairy,SmartBuy Milk Value,/product-icons/generated/dairy-milk-0072.webp,"dairy,milk,value,smartbuy"
73,dairy-milk-0073,dairy,HomeSelect Milk 100 g,/product-icons/generated/dairy-milk-0073.webp,"dairy,milk,100-g,homeselect"
74,dairy-milk-0074,dairy,HomeSelect Milk 200 g,/product-icons/generated/dairy-milk-0074.webp,"dairy,milk,200-g,homeselect"
75,dairy-milk-0075,dairy,HomeSelect Milk 250 g,/product-icons/generated/dairy-milk-0075.webp,"dairy,milk,250-g,homeselect"
76,dairy-milk-0076,dairy,HomeSelect Milk 500 g,/product-icons/generated/dairy-milk-0076.webp,"dairy,milk,500-g,homeselect"
77,dairy-milk-0077,dairy,HomeSelect Milk 1 kg,/product-icons/generated/dairy-milk-0077.webp,"dairy,milk,1-kg,homeselect"
78,dairy-milk-0078,dairy,HomeSelect Milk 100 ml,/product-icons/generated/dairy-milk-0078.webp,"dairy,milk,100-ml,homeselect"
79,dairy-milk-0079,dairy,HomeSelect Milk 200 ml,/product-icons/generated/dairy-milk-0079.webp,"dairy,milk,200-ml,homeselect"
80,dairy-milk-0080,dairy,HomeSelect Milk 500 ml,/product-icons/generated/dairy-milk-0080.webp,"dairy,milk,500-ml,homeselect"
81,dairy-milk-0081,dairy,HomeSelect Milk 1 L,/product-icons/generated/dairy-milk-0081.webp,"dairy,milk,1-l,homeselect"
82,dairy-milk-0082,dairy,HomeSelect Milk 2 L,/product-icons/generated/dairy-milk-0082.webp,"dairy,milk,2-l,homeselect"
83,dairy-milk-0083,dairy,HomeSelect Milk Pack of 2,/product-icons/generated/dairy-milk-0083.webp,"dairy,milk,pack-of-2,homeselect"
84,dairy-milk-0084,dairy,HomeSelect Milk Pack of 4,/product-icons/generated/dairy-milk-0084.webp,"dairy,milk,pack-of-4,homeselect"
85,dairy-milk-0085,dairy,HomeSelect Milk Pack of 6,/product-icons/generated/dairy-milk-0085.webp,"dairy,milk,pack-of-6,homeselect"
86,dairy-milk-0086,dairy,HomeSelect Milk Family Pack,/product-icons/generated/dairy-milk-0086.webp,"dairy,milk,family-pack,homeselect"
87,dairy-milk-0087,dairy,HomeSelect Milk Mini,/product-icons/generated/dairy-milk-0087.webp,"dairy,milk,mini,homeselect"
88,dairy-milk-0088,dairy,HomeSelect Milk Regular,/product-icons/generated/dairy-milk-0088.webp,"dairy,milk,regular,homeselect"
89,dairy-milk-0089,dairy,HomeSelect Milk Premium,/product-icons/generated/dairy-milk-0089.webp,"dairy,milk,premium,homeselect"
90,dairy-milk-0090,dairy,HomeSelect Milk Value,/product-icons/generated/dairy-milk-0090.webp,"dairy,milk,value,homeselect"
91,dairy-milk-0091,dairy,PrimeValue Milk 100 g,/product-icons/generated/dairy-milk-0091.webp,"dairy,milk,100-g,primevalue"
92,dairy-milk-0092,dairy,PrimeValue Milk 200 g,/product-icons/generated/dairy-milk-0092.webp,"dairy,milk,200-g,primevalue"
93,dairy-milk-0093,dairy,PrimeValue Milk 250 g,/product-icons/generated/dairy-milk-0093.webp,"dairy,milk,250-g,primevalue"
94,dairy-milk-0094,dairy,PrimeValue Milk 500 g,/product-icons/generated/dairy-milk-0094.webp,"dairy,milk,500-g,primevalue"
95,dairy-milk-0095,dairy,PrimeValue Milk 1 kg,/product-icons/generated/dairy-milk-0095.webp,"dairy,milk,1-kg,primevalue"
96,dairy-milk-0096,dairy,PrimeValue Milk 100 ml,/product-icons/generated/dairy-milk-0096.webp,"dairy,milk,100-ml,primevalue"
97,dairy-milk-0097,dairy,PrimeValue Milk 200 ml,/product-icons/generated/dairy-milk-0097.webp,"dairy,milk,200-ml,primevalue"
98,dairy-milk-0098,dairy,PrimeValue Milk 500 ml,/product-icons/generated/dairy-milk-0098.webp,"dairy,milk,500-ml,primevalue"
99,dairy-milk-0099,dairy,PrimeValue Milk 1 L,/product-icons/generated/dairy-milk-0099.webp,"dairy,milk,1-l,primevalue"
100,dairy-milk-0100,dairy,PrimeValue Milk 2 L,/product-icons/generated/dairy-milk-0100.webp,"dairy,milk,2-l,primevalue"
101,dairy-milk-0101,dairy,PrimeValue Milk Pack of 2,/product-icons/generated/dairy-milk-0101.webp,"dairy,milk,pack-of-2,primevalue"
102,dairy-milk-0102,dairy,PrimeValue Milk Pack of 4,/product-icons/generated/dairy-milk-0102.webp,"dairy,milk,pack-of-4,primevalue"
103,dairy-milk-0103,dairy,PrimeValue Milk Pack of 6,/product-icons/generated/dairy-milk-0103.webp,"dairy,milk,pack-of-6,primevalue"
104,dairy-milk-0104,dairy,PrimeValue Milk Family Pack,/product-icons/generated/dairy-milk-0104.webp,"dairy,milk,family-pack,primevalue"
105,dairy-milk-0105,dairy,PrimeValue Milk Mini,/product-icons/generated/dairy-milk-0105.webp,"dairy,milk,mini,primevalue"
106,dairy-milk-0106,dairy,PrimeValue Milk Regular,/product-icons/generated/dairy-milk-0106.webp,"dairy,milk,regular,primevalue"
107,dairy-milk-0107,dairy,PrimeValue Milk Premium,/product-icons/generated/dairy-milk-0107.webp,"dairy,milk,premium,primevalue"
108,dairy-milk-0108,dairy,PrimeValue Milk Value,/product-icons/generated/dairy-milk-0108.webp,"dairy,milk,value,primevalue"
109,dairy-milk-0109,dairy,StoreBest Milk 100 g,/product-icons/generated/dairy-milk-0109.webp,"dairy,milk,100-g,storebest"
110,dairy-milk-0110,dairy,StoreBest Milk 200 g,/product-icons/generated/dairy-milk-0110.webp,"dairy,milk,200-g,storebest"
111,dairy-milk-0111,dairy,StoreBest Milk 250 g,/product-icons/generated/dairy-milk-0111.webp,"dairy,milk,250-g,storebest"
112,dairy-milk-0112,dairy,StoreBest Milk 500 g,/product-icons/generated/dairy-milk-0112.webp,"dairy,milk,500-g,storebest"
113,dairy-milk-0113,dairy,StoreBest Milk 1 kg,/product-icons/generated/dairy-milk-0113.webp,"dairy,milk,1-kg,storebest"
114,dairy-milk-0114,dairy,StoreBest Milk 100 ml,/product-icons/generated/dairy-milk-0114.webp,"dairy,milk,100-ml,storebest"
115,dairy-milk-0115,dairy,StoreBest Milk 200 ml,/product-icons/generated/dairy-milk-0115.webp,"dairy,milk,200-ml,storebest"
116,dairy-milk-0116,dairy,StoreBest Milk 500 ml,/product-icons/generated/dairy-milk-0116.webp,"dairy,milk,500-ml,storebest"
117,dairy-milk-0117,dairy,StoreBest Milk 1 L,/product-icons/generated/dairy-milk-0117.webp,"dairy,milk,1-l,storebest"
118,dairy-milk-0118,dairy,StoreBest Milk 2 L,/product-icons/generated/dairy-milk-0118.webp,"dairy,milk,2-l,storebest"
119,dairy-milk-0119,dairy,StoreBest Milk Pack of 2,/product-icons/generated/dairy-milk-0119.webp,"dairy,milk,pack-of-2,storebest"
120,dairy-milk-0120,dairy,StoreBest Milk Pack of 4,/product-icons/generated/dairy-milk-0120.webp,"dairy,milk,pack-of-4,storebest"
121,dairy-milk-0121,dairy,StoreBest Milk Pack of 6,/product-icons/generated/dairy-milk-0121.webp,"dairy,milk,pack-of-6,storebest"
122,dairy-milk-0122,dairy,StoreBest Milk Family Pack,/product-icons/generated/dairy-milk-0122.webp,"dairy,milk,family-pack,storebest"
123,dairy-milk-0123,dairy,StoreBest Milk Mini,/product-icons/generated/dairy-milk-0123.webp,"dairy,milk,mini,storebest"
124,dairy-milk-0124,dairy,StoreBest Milk Regular,/product-icons/generated/dairy-milk-0124.webp,"dairy,milk,regular,storebest"
125,dairy-milk-0125,dairy,StoreBest Milk Premium,/product-icons/generated/dairy-milk-0125.webp,"dairy,milk,premium,storebest"
126,dairy-milk-0126,dairy,StoreBest Milk Value,/product-icons/generated/dairy-milk-0126.webp,"dairy,milk,value,storebest"
127,dairy-milk-0127,dairy,GoodLife Milk 100 g,/product-icons/generated/dairy-milk-0127.webp,"dairy,milk,100-g,goodlife"
128,dairy-milk-0128,dairy,GoodLife Milk 200 g,/product-icons/generated/dairy-milk-0128.webp,"dairy,milk,200-g,goodlife"
129,dairy-milk-0129,dairy,GoodLife Milk 250 g,/product-icons/generated/dairy-milk-0129.webp,"dairy,milk,250-g,goodlife"
130,dairy-milk-0130,dairy,GoodLife Milk 500 g,/product-icons/generated/dairy-milk-0130.webp,"dairy,milk,500-g,goodlife"
131,dairy-milk-0131,dairy,GoodLife Milk 1 kg,/product-icons/generated/dairy-milk-0131.webp,"dairy,milk,1-kg,goodlife"
132,dairy-milk-0132,dairy,GoodLife Milk 100 ml,/product-icons/generated/dairy-milk-0132.webp,"dairy,milk,100-ml,goodlife"
133,dairy-milk-0133,dairy,GoodLife Milk 200 ml,/product-icons/generated/dairy-milk-0133.webp,"dairy,milk,200-ml,goodlife"
134,dairy-milk-0134,dairy,GoodLife Milk 500 ml,/product-icons/generated/dairy-milk-0134.webp,"dairy,milk,500-ml,goodlife"
135,dairy-milk-0135,dairy,GoodLife Milk 1 L,/product-icons/generated/dairy-milk-0135.webp,"dairy,milk,1-l,goodlife"
136,dairy-milk-0136,dairy,GoodLife Milk 2 L,/product-icons/generated/dairy-milk-0136.webp,"dairy,milk,2-l,goodlife"
137,dairy-milk-0137,dairy,GoodLife Milk Pack of 2,/product-icons/generated/dairy-milk-0137.webp,"dairy,milk,pack-of-2,goodlife"
138,dairy-milk-0138,dairy,GoodLife Milk Pack of 4,/product-icons/generated/dairy-milk-0138.webp,"dairy,milk,pack-of-4,goodlife"
139,dairy-milk-0139,dairy,GoodLife Milk Pack of 6,/product-icons/generated/dairy-milk-0139.webp,"dairy,milk,pack-of-6,goodlife"
140,dairy-milk-0140,dairy,GoodLife Milk Family Pack,/product-icons/generated/dairy-milk-0140.webp,"dairy,milk,family-pack,goodlife"
141,dairy-milk-0141,dairy,GoodLife Milk Mini,/product-icons/generated/dairy-milk-0141.webp,"dairy,milk,mini,goodlife"
142,dairy-milk-0142,dairy,GoodLife Milk Regular,/product-icons/generated/dairy-milk-0142.webp,"dairy,milk,regular,goodlife"
143,dairy-milk-0143,dairy,GoodLife Milk Premium,/product-icons/generated/dairy-milk-0143.webp,"dairy,milk,premium,goodlife"
144,dairy-milk-0144,dairy,GoodLife Milk Value,/product-icons/generated/dairy-milk-0144.webp,"dairy,milk,value,goodlife"
145,dairy-milk-0145,dairy,CityFresh Milk 100 g,/product-icons/generated/dairy-milk-0145.webp,"dairy,milk,100-g,cityfresh"
146,dairy-milk-0146,dairy,CityFresh Milk 200 g,/product-icons/generated/dairy-milk-0146.webp,"dairy,milk,200-g,cityfresh"
147,dairy-milk-0147,dairy,CityFresh Milk 250 g,/product-icons/generated/dairy-milk-0147.webp,"dairy,milk,250-g,cityfresh"
148,dairy-milk-0148,dairy,CityFresh Milk 500 g,/product-icons/generated/dairy-milk-0148.webp,"dairy,milk,500-g,cityfresh"
149,dairy-milk-0149,dairy,CityFresh Milk 1 kg,/product-icons/generated/dairy-milk-0149.webp,"dairy,milk,1-kg,cityfresh"
150,dairy-milk-0150,dairy,CityFresh Milk 100 ml,/product-icons/generated/dairy-milk-0150.webp,"dairy,milk,100-ml,cityfresh"
151,dairy-milk-0151,dairy,CityFresh Milk 200 ml,/product-icons/generated/dairy-milk-0151.webp,"dairy,milk,200-ml,cityfresh"
152,dairy-milk-0152,dairy,CityFresh Milk 500 ml,/product-icons/generated/dairy-milk-0152.webp,"dairy,milk,500-ml,cityfresh"
153,dairy-milk-0153,dairy,CityFresh Milk 1 L,/product-icons/generated/dairy-milk-0153.webp,"dairy,milk,1-l,cityfresh"
154,dairy-milk-0154,dairy,CityFresh Milk 2 L,/product-icons/generated/dairy-milk-0154.webp,"dairy,milk,2-l,cityfresh"
155,dairy-milk-0155,dairy,CityFresh Milk Pack of 2,/product-icons/generated/dairy-milk-0155.webp,"dairy,milk,pack-of-2,cityfresh"
156,dairy-milk-0156,dairy,CityFresh Milk Pack of 4,/product-icons/generated/dairy-milk-0156.webp,"dairy,milk,pack-of-4,cityfresh"
157,dairy-milk-0157,dairy,CityFresh Milk Pack of 6,/product-icons/generated/dairy-milk-0157.webp,"dairy,milk,pack-of-6,cityfresh"
158,dairy-milk-0158,dairy,CityFresh Milk Family Pack,/product-icons/generated/dairy-milk-0158.webp,"dairy,milk,family-pack,cityfresh"
159,dairy-milk-0159,dairy,CityFresh Milk Mini,/product-icons/generated/dairy-milk-0159.webp,"dairy,milk,mini,cityfresh"
160,dairy-milk-0160,dairy,CityFresh Milk Regular,/product-icons/generated/dairy-milk-0160.webp,"dairy,milk,regular,cityfresh"
161,dairy-milk-0161,dairy,CityFresh Milk Premium,/product-icons/generated/dairy-milk-0161.webp,"dairy,milk,premium,cityfresh"
162,dairy-milk-0162,dairy,CityFresh Milk Value,/product-icons/generated/dairy-milk-0162.webp,"dairy,milk,value,cityfresh"
163,dairy-milk-0163,dairy,Classic Milk 100 g,/product-icons/generated/dairy-milk-0163.webp,"dairy,milk,100-g,classic"
164,dairy-milk-0164,dairy,Classic Milk 200 g,/product-icons/generated/dairy-milk-0164.webp,"dairy,milk,200-g,classic"
165,dairy-milk-0165,dairy,Classic Milk 250 g,/product-icons/generated/dairy-milk-0165.webp,"dairy,milk,250-g,classic"
166,dairy-milk-0166,dairy,Classic Milk 500 g,/product-icons/generated/dairy-milk-0166.webp,"dairy,milk,500-g,classic"
167,dairy-milk-0167,dairy,Classic Milk 1 kg,/product-icons/generated/dairy-milk-0167.webp,"dairy,milk,1-kg,classic"
168,dairy-milk-0168,dairy,Classic Milk 100 ml,/product-icons/generated/dairy-milk-0168.webp,"dairy,milk,100-ml,classic"
169,dairy-milk-0169,dairy,Classic Milk 200 ml,/product-icons/generated/dairy-milk-0169.webp,"dairy,milk,200-ml,classic"
170,dairy-milk-0170,dairy,Classic Milk 500 ml,/product-icons/generated/dairy-milk-0170.webp,"dairy,milk,500-ml,classic"
171,dairy-milk-0171,dairy,Classic Milk 1 L,/product-icons/generated/dairy-milk-0171.webp,"dairy,milk,1-l,classic"
172,dairy-milk-0172,dairy,Classic Milk 2 L,/product-icons/generated/dairy-milk-0172.webp,"dairy,milk,2-l,classic"
173,dairy-milk-0173,dairy,Classic Milk Pack of 2,/product-icons/generated/dairy-milk-0173.webp,"dairy,milk,pack-of-2,classic"
174,dairy-milk-0174,dairy,Classic Milk Pack of 4,/product-icons/generated/dairy-milk-0174.webp,"dairy,milk,pack-of-4,classic"
175,dairy-milk-0175,dairy,Classic Milk Pack of 6,/product-icons/generated/dairy-milk-0175.webp,"dairy,milk,pack-of-6,classic"
176,dairy-milk-0176,dairy,Classic Milk Family Pack,/product-icons/generated/dairy-milk-0176.webp,"dairy,milk,family-pack,classic"
177,dairy-milk-0177,dairy,Classic Milk Mini,/product-icons/generated/dairy-milk-0177.webp,"dairy,milk,mini,classic"
178,dairy-milk-0178,dairy,Classic Milk Regular,/product-icons/generated/dairy-milk-0178.webp,"dairy,milk,regular,classic"
179,dairy-milk-0179,dairy,Classic Milk Premium,/product-icons/generated/dairy-milk-0179.webp,"dairy,milk,premium,classic"
180,dairy-milk-0180,dairy,Classic Milk Value,/product-icons/generated/dairy-milk-0180.webp,"dairy,milk,value,classic"
181,dairy-curd-0181,dairy,FreshFarm Curd 100 g,/product-icons/generated/dairy-curd-0181.webp,"dairy,curd,100-g,freshfarm"
182,dairy-curd-0182,dairy,FreshFarm Curd 200 g,/product-icons/generated/dairy-curd-0182.webp,"dairy,curd,200-g,freshfarm"
183,dairy-curd-0183,dairy,FreshFarm Curd 250 g,/product-icons/generated/dairy-curd-0183.webp,"dairy,curd,250-g,freshfarm"
184,dairy-curd-0184,dairy,FreshFarm Curd 500 g,/product-icons/generated/dairy-curd-0184.webp,"dairy,curd,500-g,freshfarm"
185,dairy-curd-0185,dairy,FreshFarm Curd 1 kg,/product-icons/generated/dairy-curd-0185.webp,"dairy,curd,1-kg,freshfarm"
186,dairy-curd-0186,dairy,FreshFarm Curd 100 ml,/product-icons/generated/dairy-curd-0186.webp,"dairy,curd,100-ml,freshfarm"
187,dairy-curd-0187,dairy,FreshFarm Curd 200 ml,/product-icons/generated/dairy-curd-0187.webp,"dairy,curd,200-ml,freshfarm"
188,dairy-curd-0188,dairy,FreshFarm Curd 500 ml,/product-icons/generated/dairy-curd-0188.webp,"dairy,curd,500-ml,freshfarm"
189,dairy-curd-0189,dairy,FreshFarm Curd 1 L,/product-icons/generated/dairy-curd-0189.webp,"dairy,curd,1-l,freshfarm"
190,dairy-curd-0190,dairy,FreshFarm Curd 2 L,/product-icons/generated/dairy-curd-0190.webp,"dairy,curd,2-l,freshfarm"
191,dairy-curd-0191,dairy,FreshFarm Curd Pack of 2,/product-icons/generated/dairy-curd-0191.webp,"dairy,curd,pack-of-2,freshfarm"
192,dairy-curd-0192,dairy,FreshFarm Curd Pack of 4,/product-icons/generated/dairy-curd-0192.webp,"dairy,curd,pack-of-4,freshfarm"
193,dairy-curd-0193,dairy,FreshFarm Curd Pack of 6,/product-icons/generated/dairy-curd-0193.webp,"dairy,curd,pack-of-6,freshfarm"
194,dairy-curd-0194,dairy,FreshFarm Curd Family Pack,/product-icons/generated/dairy-curd-0194.webp,"dairy,curd,family-pack,freshfarm"
195,dairy-curd-0195,dairy,FreshFarm Curd Mini,/product-icons/generated/dairy-curd-0195.webp,"dairy,curd,mini,freshfarm"
196,dairy-curd-0196,dairy,FreshFarm Curd Regular,/product-icons/generated/dairy-curd-0196.webp,"dairy,curd,regular,freshfarm"
197,dairy-curd-0197,dairy,FreshFarm Curd Premium,/product-icons/generated/dairy-curd-0197.webp,"dairy,curd,premium,freshfarm"
198,dairy-curd-0198,dairy,FreshFarm Curd Value,/product-icons/generated/dairy-curd-0198.webp,"dairy,curd,value,freshfarm"
